"Time Period","National Great Britain","National England and Wales","National Scotland","Sector London and South East","Sector Long Distance","Sector Regional and Scotland","Franchised Avanti West Coast","Franchised c2c","Franchised Caledonian Sleeper","Franchised Chiltern Railways","Franchised CrossCountry","Franchised East Midlands Railway","Franchised Elizabeth line","Franchised Govia Thameslink Railway","Franchised Great Western Railway","Franchised Greater Anglia","Franchised London North Eastern Railway","Franchised London Overground","Franchised Merseyrail","Franchised Northern Trains","Franchised ScotRail","Franchised South Western Railway","Franchised Southeastern","Franchised TfW Rail","Franchised TransPennine Express","Franchised West Midlands Trains","Non-Franchised Grand Central","Non-Franchised Heathrow Express","Non-Franchised Hull Trains","Non-Franchised Lumo"
"Apr 2020 to Mar 2021 (Period 10)","4.13","4.27","2.73","4.25","6.40","3.49","4.65","0.60","16.67","4.12","6.87","5.37","1.77","6.49","5.94","2.74","5.72","3.73","4.88","2.33","2.71","3.63","3.63","5.26","4.82","3.55","4.78","3.98","5.60","[z]"
"Apr 2020 to Mar 2021 (Period 11)","3.68","3.80","2.64","3.46","6.46","3.53","10.08","3.28","12.24","3.65","7.31","4.14","2.25","4.83","1.62","2.52","7.00","2.32","3.22","4.40","2.63","3.22","3.63","4.18","7.24","4.29","[z]","1.99","[z]","[z]"
"Apr 2020 to Mar 2021 (Period 12)","3.45","3.19","5.93","3.63","3.75","3.07","3.17","1.71","35.29","0.88","4.15","1.30","3.54","5.05","2.29","3.57","6.50","3.35","0.35","1.67","5.89","1.99","3.98","2.50","4.60","2.98","[z]","5.51","[z]","[z]"
"Apr 2020 to Mar 2021 (Period 13)","2.36","2.44","1.56","2.57","2.62","1.95","1.85","2.08","6.67","1.02","2.96","1.48","1.60","3.76","1.72","1.80","4.75","2.62","1.98","1.69","1.56","2.07","1.93","2.38","2.96","3.02","3.45","4.73","[z]","[z]"
"Apr 2021 to Mar 2022 (Period 01)","2.24","2.31","1.53","2.51","2.45","1.76","3.55","1.53","9.23","1.67","2.40","1.60","3.24","3.19","1.51","1.72","3.64","2.76","1.45","1.36","1.52","2.02","1.99","2.33","2.13","3.28","1.75","3.70","3.90","[z]"
"Apr 2021 to Mar 2022 (Period 02)","3.00","3.05","2.50","3.01","5.44","2.50","8.70","1.49","1.84","1.84","5.62","3.44","1.93","4.04","3.00","1.97","7.17","2.32","1.40","2.01","2.50","3.51","1.94","3.61","2.92","4.39","2.38","5.24","5.13","[z]"
"Apr 2021 to Mar 2022 (Period 03)","4.11","4.28","2.40","4.55","4.27","3.38","4.17","3.19","10.53","2.65","5.55","5.09","3.21","6.54","3.16","2.47","4.78","3.84","1.36","2.96","2.38","6.02","2.87","3.51","2.48","6.59","3.94","5.19","3.46","[z]"
"Apr 2021 to Mar 2022 (Period 04)","5.31","5.48","3.70","5.70","6.07","4.55","9.70","2.06","15.06","4.30","6.04","4.85","2.93","10.60","5.63","2.77","5.86","4.09","0.70","4.23","3.66","4.68","2.62","3.91","3.37","7.86","4.25","3.32","6.23","[z]"
"Apr 2021 to Mar 2022 (Period 05)","4.19","4.24","3.68","4.30","4.87","3.87","4.68","2.24","18.87","3.77","5.45","4.02","2.30","8.24","5.34","2.07","4.67","3.43","0.93","2.99","3.63","2.34","2.98","3.36","2.55","6.36","3.75","3.46","3.40","[z]"
"Apr 2021 to Mar 2022 (Period 06)","4.24","4.38","2.86","4.41","5.12","3.78","3.47","1.35","7.46","2.57","3.83","4.03","2.47","8.52","5.31","1.66","9.36","3.40","1.97","3.16","2.84","2.92","3.02","3.89","3.55","6.32","7.11","3.43","7.81","[z]"
"Apr 2021 to Mar 2022 (Period 07)","3.67","3.71","3.25","3.93","3.96","3.19","3.61","3.10","7.23","2.14","3.82","5.14","2.44","6.33","2.78","2.33","3.95","3.57","1.57","2.61","3.23","3.32","3.15","4.40","2.11","4.10","4.82","6.27","2.48","[z]"
"Apr 2021 to Mar 2022 (Period 08)","4.91","5.02","3.89","4.65","6.38","5.02","8.48","2.25","18.31","2.14","4.31","5.05","3.86","6.38","4.99","2.54","8.20","3.94","2.52","4.35","3.84","5.48","4.17","8.02","4.23","7.55","6.28","4.84","7.12","10.81"
"Apr 2021 to Mar 2022 (Period 09)","5.70","5.72","5.54","4.59","7.95","6.98","12.48","0.84","20.81","2.98","8.85","5.10","3.90","6.89","4.29","2.61","8.59","4.65","2.40","6.76","5.50","4.00","3.69","14.00","6.88","8.74","10.29","2.69","7.12","11.70"
"Apr 2021 to Mar 2022 (Period 10)","5.52","5.55","5.18","4.33","8.96","6.62","15.10","1.20","7.14","1.67","7.30","4.15","3.18","8.34","6.35","1.68","8.09","3.32","1.94","6.31","5.17","2.86","3.41","9.48","10.82","8.45","10.95","2.55","7.54","6.11"
"Apr 2021 to Mar 2022 (Period 11)","3.42","3.39","3.70","3.26","4.27","3.51","4.19","1.00","4.91","1.68","3.25","2.85","2.58","5.29","2.35","1.14","6.11","3.88","1.65","4.15","3.70","2.47","2.63","3.22","5.46","3.27","5.02","3.06","4.72","8.86"
"Apr 2021 to Mar 2022 (Period 12)","7.32","7.73","3.60","7.61","9.54","6.42","10.52","3.25","17.18","5.19","8.77","6.93","3.94","11.40","5.90","5.25","11.89","4.90","1.52","9.88","3.55","9.60","6.72","7.63","8.41","6.67","14.16","7.13","6.50","8.33"
"Apr 2021 to Mar 2022 (Period 13)","4.30","4.41","3.26","3.87","5.13","4.82","6.41","1.26","2.63","0.99","4.46","2.85","3.20","6.95","3.42","2.73","4.30","3.36","1.60","6.42","3.27","2.16","3.34","5.63","7.39","5.74","4.92","2.56","4.92","3.86"
"Apr 2022 to Mar 2023 (Period 01)","4.14","4.29","2.79","4.10","5.86","3.87","10.46","2.31","10.91","1.78","6.12","3.22","3.60","7.15","4.43","1.43","3.46","3.21","1.09","4.54","2.77","3.35","2.10","4.07","6.58","6.34","3.24","8.10","2.40","6.44"
"Apr 2022 to Mar 2023 (Period 02)","3.72","3.68","4.12","3.09","6.45","4.16","10.90","1.58","4.29","2.82","5.65","4.99","2.07","5.41","2.53","1.18","5.59","2.65","3.16","4.99","4.12","1.84","2.67","4.13","6.40","4.50","7.76","1.90","4.96","7.58"
"Apr 2022 to Mar 2023 (Period 03)","4.73","4.89","2.53","4.46","8.26","4.39","15.40","4.00","14.73","1.84","10.15","3.22","1.99","6.51","3.72","3.29","5.55","5.03","3.76","5.34","2.48","4.34","3.57","5.30","7.88","5.79","7.09","2.05","3.93","11.47"
"Apr 2022 to Mar 2023 (Period 04)","6.64","6.99","2.37","6.22","13.86","5.80","25.00","3.47","19.64","2.20","15.83","6.99","2.26","11.41","6.01","3.34","14.08","6.37","5.98","6.21","2.30","4.33","4.23","6.63","11.72","9.11","9.46","4.24","10.86","12.50"
"Apr 2022 to Mar 2023 (Period 05)","6.63","6.96","3.66","6.72","13.61","5.10","24.00","4.34","4.51","3.46","10.80","8.75","2.29","13.17","5.63","2.67","18.95","5.36","3.54","5.55","3.66","5.20","4.59","6.03","9.06","6.77","19.81","3.30","13.98","17.09"
"Apr 2022 to Mar 2023 (Period 06)","4.53","4.74","2.63","4.56","7.47","3.92","11.80","1.59","5.45","5.57","8.95","2.86","2.90","7.48","4.14","2.52","8.79","4.53","1.26","5.30","2.62","3.17","3.17","4.76","7.59","5.35","11.94","3.25","6.30","11.87"
"Apr 2022 to Mar 2023 (Period 07)","4.29","4.36","3.72","3.91","8.91","4.04","13.74","1.77","6.10","2.28","8.26","3.88","2.99","6.38","5.96","2.12","6.39","3.90","1.75","4.84","3.71","1.98","1.95","5.55","9.21","3.73","4.74","11.36","5.11","5.85"
"Apr 2022 to Mar 2023 (Period 08)","5.69","5.68","5.84","4.87","10.82","6.03","15.89","3.15","8.23","2.18","16.96","6.23","3.41","8.06","4.39","2.51","10.98","4.16","2.86","6.55","5.83","4.04","4.33","6.82","11.18","7.34","12.09","2.73","7.82","8.42"
"Apr 2022 to Mar 2023 (Period 09)","5.75","5.90","4.48","5.10","11.49","5.70","15.57","3.80","4.19","2.30","17.17","5.55","5.35","6.67","5.84","1.81","15.28","4.16","3.57","6.18","4.48","6.23","4.49","7.93","9.36","6.67","11.00","6.34","10.28","18.15"
"Apr 2022 to Mar 2023 (Period 10)","10.30","10.23","10.94","9.66","17.15","9.82","32.87","4.74","20.88","1.59","16.54","7.06","2.16","14.55","8.82","2.77","18.11","10.34","4.94","9.88","10.91","6.76","15.75","10.14","15.93","11.56","16.77","5.65","6.18","11.69"
"Apr 2022 to Mar 2023 (Period 11)","4.93","5.21","2.51","4.64","10.41","4.33","20.86","1.10","9.04","3.33","7.91","3.76","2.90","6.30","4.65","1.41","7.87","4.08","3.45","4.73","2.49","7.42","4.29","7.79","12.05","4.77","11.37","2.54","3.53","8.04"
"Apr 2022 to Mar 2023 (Period 12)","4.17","4.38","2.23","3.78","7.38","4.13","10.91","2.70","7.88","2.88","7.41","2.48","4.31","5.21","3.52","1.65","5.46","3.34","1.41","5.85","2.22","3.39","4.33","7.30","10.10","3.17","7.98","1.83","5.01","11.35"
"Apr 2022 to Mar 2023 (Period 13)","4.56","4.77","2.68","4.22","7.51","4.51","6.68","3.21","5.67","4.69","6.19","4.02","5.40","5.44","5.06","1.36","9.32","4.16","4.28","5.37","2.67","2.59","4.17","9.15","8.82","3.71","12.96","7.41","6.59","14.02"
